REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWROCGINDNO00,CO2IND,1,2029,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2030,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2031,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2032,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2033,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2034,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2035,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2036,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2037,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2038,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2039,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2040,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2041,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2042,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2043,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2044,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2045,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2046,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2047,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2048,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2049,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,1,2050,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2021,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2022,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2023,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2024,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2025,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2026,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2027,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2028,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2029,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2030,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2031,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2032,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2033,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2034,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2035,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2036,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2037,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2038,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2039,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2040,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2041,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2042,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2043,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2044,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2045,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2046,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2047,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2048,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2049,0.1449
GLOBAL,PWROCGINDNO00,CO2IND,2,2050,0.1449
GLOBAL,PWROILINDNO01,CO2IND,1,2021,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2022,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2023,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2024,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2025,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2026,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2027,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2028,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2029,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2030,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2031,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2032,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2033,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2034,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2035,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2036,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2037,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2038,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2039,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2040,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2041,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2042,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2043,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2044,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2045,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2046,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2047,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2048,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2049,0.195
GLOBAL,PWROILINDNO01,CO2IND,1,2050,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2021,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2022,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2023,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2024,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2025,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2026,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2027,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2028,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2029,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2030,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2031,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2032,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2033,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2034,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2035,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2036,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2037,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2038,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2039,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2040,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2041,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2042,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2043,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2044,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2045,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2046,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2047,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2048,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2049,0.195
GLOBAL,PWROILINDNO01,CO2IND,2,2050,0.195
GLOBAL,PWROTHINDNO01,CO2IND,1,2021,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2022,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2023,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2024,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2025,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2026,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2027,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2028,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2029,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2030,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2031,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2032,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2033,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2034,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2035,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2036,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2037,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2038,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2039,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2040,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2041,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2042,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2043,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2044,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2045,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2046,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2047,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2048,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2049,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,1,2050,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2021,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2022,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2023,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2024,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2025,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2026,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2027,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2028,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2029,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2030,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2031,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2032,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2033,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2034,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2035,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2036,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2037,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2038,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2039,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2040,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2041,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2042,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2043,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2044,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2045,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2046,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2047,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2048,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2049,0.0503
GLOBAL,PWROTHINDNO01,CO2IND,2,2050,0.0503
GLOBAL,PWRCOAINDNO01,CO2IND,1,2021,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2022,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2023,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2024,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2025,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2026,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2027,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2028,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2029,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2030,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2031,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2032,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2033,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2034,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2035,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2036,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2037,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2038,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2039,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2040,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2041,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2042,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2043,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2044,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2045,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2046,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2047,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2048,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2049,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,1,2050,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2021,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2022,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2023,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2024,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2025,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2026,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2027,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2028,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2029,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2030,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2031,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2032,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2033,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2034,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2035,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2036,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2037,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2038,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2039,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2040,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2041,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2042,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2043,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2044,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2045,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2046,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2047,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2048,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2049,0.2743
GLOBAL,PWRCOAINDNO01,CO2IND,2,2050,0.2743
GLOBAL,PWRWASINDNO01,CO2IND,1,2021,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2022,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2023,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2024,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2025,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2026,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2027,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2028,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2029,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2030,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2031,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2032,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2033,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2034,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2035,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2036,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2037,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2038,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2039,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2040,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2041,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2042,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2043,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2044,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2045,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2046,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2047,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2048,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2049,0.0879
GLOBAL,PWRWASINDNO01,CO2IND,1,2050,0.0879
GLOBAL,PWRPETINDNO01,CO2IND,1,2021,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2022,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2023,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2024,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2025,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2026,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2027,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2028,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2029,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2030,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2031,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2032,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2033,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2034,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2035,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2036,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2037,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2038,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2039,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2040,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2041,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2042,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2043,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2044,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2045,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2046,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2047,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2048,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2049,0.217
GLOBAL,PWRPETINDNO01,CO2IND,1,2050,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2021,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2022,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2023,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2024,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2025,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2026,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2027,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2028,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2029,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2030,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2031,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2032,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2033,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2034,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2035,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2036,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2037,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2038,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2039,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2040,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2041,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2042,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2043,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2044,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2045,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2046,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2047,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2048,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2049,0.217
GLOBAL,PWRPETINDNO01,CO2IND,2,2050,0.217
GLOBAL,PWRCOGINDNO01,CO2IND,1,2021,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2022,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2023,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2024,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2025,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2026,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2027,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2028,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2029,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2030,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2031,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2032,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2033,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2034,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2035,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2036,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2037,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2038,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2039,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2040,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2041,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2042,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2043,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2044,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2045,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2046,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2047,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2048,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2049,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,1,2050,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2021,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2022,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2023,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2024,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2025,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2026,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2027,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2028,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2029,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2030,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2031,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2032,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2033,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2034,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2035,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2036,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2037,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2038,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2039,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2040,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2041,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2042,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2043,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2044,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2045,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2046,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2047,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2048,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2049,0.2724
GLOBAL,PWRCOGINDNO01,CO2IND,2,2050,0.2724
GLOBAL,PWRCCSINDNO01,CO2IND,1,2021,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2022,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2023,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2024,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2025,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2026,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2027,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2028,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2029,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2030,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2031,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2032,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2033,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2034,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2035,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2036,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2037,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2038,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2039,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2040,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2041,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2042,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2043,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2044,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2045,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2046,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2047,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2048,0.0273
GLOBAL,PWRCCSINDNO01,CO2IND,1,2049,0.0273
